what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243572553405
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1243572559827
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1243572561928
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243572564510
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572564994
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572570050
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572600559
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572624816
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572626108
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572630522
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572632895
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572673446
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572675035
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572688235
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572690491
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572696226
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572710021
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572712362
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572722936
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572725607
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572746798
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572747863
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572777552
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572803273
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572811999
