what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1243572816656
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243572820647
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572821369
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1243572831536
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243572833385
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1243572849128
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243572851020
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572854986
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572857905
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572859623
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572860252
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572861274
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572862821
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572868887
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572878079
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572880220
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572888610
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572892839
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572894672
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572901227
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572940744
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1244077612535
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1244077612622
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1244077613326
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1244077621928
