what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572211329
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.TypeHierarchy,1243572218246
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.TypeHierarchy,1243572218266
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1243572219984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572220048
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572227754
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572230134
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572244431
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572245356
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572274643
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572276046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572305146
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572309934
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572313175
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243572313196
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572319547
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572341298
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572346820
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572347851
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572349384
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572355116
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243572378430
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572380802
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243572388163
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243572389162
