what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571318343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571320807
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571320821
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571333062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571337448
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571341587
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571343060
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571355226
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571356938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571364196
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571367804
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571371084
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571371207
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571375476
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571377760
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571382475
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571387397
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571389021
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571391790
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571391813
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571396627
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571398386
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571399429
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571406379
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571408154
