what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571102384
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571107404
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571145578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571152426
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571157182
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571157196
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571164814
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571179674
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571179768
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571188250
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571188398
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571190226
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571190357
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571247446
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571249236
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571250498
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571253059
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571255799
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1243571255813
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571263789
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571272060
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243571283964
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243571310487
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571313892
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243571316411
