what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246248285630
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248288313
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248292010
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248292774
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248319248
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248320885
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248324239
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248327578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248333132
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248336002
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248358559
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248360525
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248367435
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246248384370
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246248384370
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246248395555
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246248403464
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246248501291
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246249747416
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246249794740
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246249797751
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246249797969
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246249800262
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246249801807
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246249801994
