what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567721593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567725039
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243567727856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567729655
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567732672
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243567734868
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567736401
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567755726
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1243567760016
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243567760341
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243567760785
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243567764156
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1243567775720
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1243567776498
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243567782217
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243567787520
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243567789850
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243568390285
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243568589543
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243568589671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243568595785
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1243568737493
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1243568771114
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243568772526
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1243568779050
